% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
5.49721	1	1	1	1.1045e-10	232849	0
5.49821	1	1	1	1.10461e-10	232873	0
5.49921	1	1	1	1.10473e-10	232897	0
5.50021	1	1	1	1.10484e-10	232921	0
5.50121	1	1	1	1.10495e-10	232945	0
5.50221	1	1	1	1.10507e-10	232969	0
5.50321	1	1	1	1.10518e-10	232992	0
5.50421	1	1	1	1.10529e-10	233016	0
5.50521	1	1	1	1.10541e-10	233040	0
5.50621	1	1	1	1.10552e-10	233064	0
5.50721	1	1	1	1.10563e-10	233088	0
5.50821	1	1	1	1.10575e-10	233112	0
5.50921	1	1	1	1.10586e-10	233136	0
5.51021	1	1	1	1.10597e-10	233160	0
5.51121	1	1	1	1.10609e-10	233184	0
5.51221	1	1	1	1.1062e-10	233208	0
5.51321	1	1	1	1.10631e-10	233232	0
5.51421	1	1	1	1.10643e-10	233256	0
5.51521	1	1	1	1.10654e-10	233280	0
5.51621	1	1	1	1.10666e-10	233303	0
5.51721	1	1	1	1.10677e-10	233327	0
5.51821	1	1	1	1.10688e-10	233351	0
5.51921	1	1	1	1.107e-10	233375	0
5.52021	1	1	1	1.10711e-10	233399	0
5.52121	1	1	1	1.10722e-10	233423	0
5.52221	1	1	1	1.10734e-10	233447	0
5.52321	1	1	1	1.10745e-10	233471	0
5.52421	1	1	1	1.10756e-10	233495	0
5.52521	1	1	1	1.10768e-10	233519	0
5.52621	1	1	1	1.10779e-10	233543	0
5.52721	1	1	1	1.10791e-10	233567	0
5.52821	1	1	1	1.10802e-10	233591	0
5.52921	1	1	1	1.10813e-10	233615	0
5.53021	1	1	1	1.10825e-10	233639	0
5.53121	1	1	1	1.10836e-10	233663	0
5.53221	1	1	1	1.10848e-10	233687	0
5.53321	1	1	1	1.10859e-10	233711	0
5.53421	1	1	1	1.1087e-10	233735	0
5.53521	1	1	1	1.10882e-10	233759	0
5.53621	1	1	1	1.10893e-10	233783	0
5.53721	1	1	1	1.10904e-10	233807	0
5.53821	1	1	1	1.10916e-10	233831	0
5.53921	1	1	1	1.10927e-10	233855	0
5.54021	1	1	1	1.10939e-10	233879	0
5.54121	1	1	1	1.1095e-10	233903	0
5.54221	1	1	1	1.10961e-10	233927	0
5.54321	1	1	1	1.10973e-10	233951	0
5.54421	1	1	1	1.10984e-10	233975	0
5.54521	1	1	1	1.10996e-10	234000	0
5.54621	1	1	1	1.11007e-10	234024	0
5.54721	1	1	1	1.11019e-10	234048	0
5.54821	1	1	1	1.1103e-10	234072	0
5.54921	1	1	1	1.11041e-10	234096	0
5.55021	1	1	1	1.11053e-10	234120	0
5.55121	1	1	1	1.11064e-10	234144	0
5.55221	1	1	1	1.11076e-10	234168	0
5.55321	1	1	1	1.11087e-10	234192	0
5.55421	1	1	1	1.11098e-10	234216	0
5.55521	1	1	1	1.1111e-10	234240	0
5.55621	1	1	1	1.11121e-10	234264	0
5.55721	1	1	1	1.11133e-10	234288	0
5.55821	1	1	1	1.11144e-10	234313	0
5.55921	1	1	1	1.11156e-10	234337	0
5.56021	1	1	1	1.11167e-10	234361	0
5.56121	1	1	1	1.11179e-10	234385	0
5.56221	1	1	1	1.1119e-10	234409	0
5.56321	1	1	1	1.11201e-10	234433	0
5.56421	1	1	1	1.11213e-10	234457	0
5.56521	1	1	1	1.11224e-10	234481	0
5.56621	1	1	1	1.11236e-10	234506	0
5.56721	1	1	1	1.11247e-10	234530	0
5.56821	1	1	1	1.11259e-10	234554	0
5.56921	1	1	1	1.1127e-10	234578	0
5.57021	1	1	1	1.11282e-10	234602	0
5.57121	1	1	1	1.11293e-10	234626	0
5.57221	1	1	1	1.11304e-10	234650	0
5.57321	1	1	1	1.11316e-10	234675	0
5.57421	1	1	1	1.11327e-10	234699	0
5.57521	1	1	1	1.11339e-10	234723	0
5.57621	1	1	1	1.1135e-10	234747	0
5.57721	1	1	1	1.11362e-10	234771	0
5.57821	1	1	1	1.11373e-10	234795	0
5.57921	1	1	1	1.11385e-10	234820	0
5.58021	1	1	1	1.11396e-10	234844	0
5.58121	1	1	1	1.11408e-10	234868	0
5.58221	1	1	1	1.11419e-10	234892	0
5.58321	1	1	1	1.11431e-10	234916	0
5.58421	1	1	1	1.11442e-10	234941	0
5.58521	1	1	1	1.11454e-10	234965	0
5.58621	1	1	1	1.11465e-10	234989	0
5.58721	1	1	1	1.11477e-10	235013	0
5.58821	1	1	1	1.11488e-10	235037	0
5.58921	1	1	1	1.11499e-10	235062	0
5.59021	1	1	1	1.11511e-10	235086	0
5.59121	1	1	1	1.11522e-10	235110	0
5.59221	1	1	1	1.11534e-10	235134	0
5.59321	1	1	1	1.11545e-10	235158	0
5.59421	1	1	1	1.11557e-10	235183	0
5.59521	1	1	1	1.11568e-10	235207	0
5.59621	1	1	1	1.1158e-10	235231	0
5.59721	1	1	1	1.11591e-10	235255	0
5.59821	1	1	1	1.11603e-10	235280	0
5.59921	1	1	1	1.11614e-10	235304	0
5.60021	1	1	1	1.11626e-10	235328	0
5.60121	1	1	1	1.11637e-10	235352	0
5.60221	1	1	1	1.11649e-10	235377	0
5.60321	1	1	1	1.11661e-10	235401	0
5.60421	1	1	1	1.11672e-10	235425	0
5.60521	1	1	1	1.11684e-10	235450	0
5.60621	1	1	1	1.11695e-10	235474	0
5.60721	1	1	1	1.11707e-10	235498	0
5.60821	1	1	1	1.11718e-10	235522	0
5.60921	1	1	1	1.1173e-10	235547	0
5.61021	1	1	1	1.11741e-10	235571	0
5.61121	1	1	1	1.11753e-10	235595	0
5.61221	1	1	1	1.11764e-10	235620	0
5.61321	1	1	1	1.11776e-10	235644	0
5.61421	1	1	1	1.11787e-10	235668	0
5.61521	1	1	1	1.11799e-10	235693	0
5.61621	1	1	1	1.1181e-10	235717	0
5.61721	1	1	1	1.11822e-10	235741	0
5.61821	1	1	1	1.11833e-10	235766	0
