% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
26.401	1	1	1	5309.92	0
26.441	1	1	1	5310.32	0
26.481	1	1	1	5310.71	0
26.521	1	1	1	5311.07	0
26.561	1	1	1	5311.42	0
26.601	1	1	1	5311.75	0
26.641	1	1	1	5312.06	0
26.681	1	1	1	5312.36	0
26.721	1	1	1	5312.64	0
26.761	1	1	1	5312.91	0
26.801	1	1	1	5313.17	0
26.841	1	1	1	5313.42	0
26.881	1	1	1	5313.65	0
26.921	1	1	1	5313.88	0
26.961	1	1	1	5314.1	0
27.001	1	1	1	5314.31	0
27.041	1	1	1	5314.51	0
27.081	1	1	1	5314.7	0
27.121	1	1	1	5314.89	0
27.161	1	1	1	5315.07	0
27.201	1	1	1	5315.24	0
27.241	1	1	1	5315.41	0
27.281	1	1	1	5315.57	0
27.321	1	1	1	5315.72	0
27.361	1	1	1	5315.87	0
27.401	1	1	1	5316.02	0
27.441	1	1	1	5316.16	0
27.481	1	1	1	5316.29	0
27.521	1	1	1	5316.43	0
27.561	1	1	1	5316.55	0
27.601	1	1	1	5316.68	0
27.641	1	1	1	5316.8	0
27.681	1	1	1	5316.91	0
27.721	1	1	1	5317.02	0
27.761	1	1	1	5317.13	0
27.801	1	1	1	5317.24	0
27.841	1	1	1	5317.34	0
27.881	1	1	1	5317.44	0
27.921	1	1	1	5317.54	0
27.961	1	1	1	5317.64	0
28.001	1	1	1	5317.73	0
28.041	1	1	1	5317.82	0
28.081	1	1	1	5317.91	0
28.121	1	1	1	5317.99	0
28.161	1	1	1	5318.07	0
28.201	1	1	1	5318.16	0
28.241	1	1	1	5318.23	0
28.281	1	1	1	5318.31	0
28.321	1	1	1	5318.39	0
28.361	1	1	1	5318.46	0
28.401	1	1	1	5318.53	0
28.441	1	1	1	5318.6	0
28.481	1	1	1	5318.67	0
28.521	1	1	1	5318.74	0
28.561	1	1	1	5318.8	0
28.601	1	1	1	5318.87	0
28.641	1	1	1	5318.93	0
28.681	1	1	1	5318.99	0
28.721	1	1	1	5319.05	0
28.761	1	1	1	5319.11	0
28.801	1	1	1	5319.17	0
28.841	1	1	1	5319.22	0
28.881	1	1	1	5319.28	0
28.921	1	1	1	5319.33	0
28.961	1	1	1	5319.39	0
29.001	1	1	1	5319.44	0
29.041	1	1	1	5319.49	0
29.081	1	1	1	5319.54	0
29.121	1	1	1	5319.59	0
29.161	1	1	1	5319.64	0
29.201	1	1	1	5319.68	0
29.241	1	1	1	5319.73	0
29.281	1	1	1	5319.77	0
